Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02093,0.01966,0.02875,0.04205
0.36023,0.36096,0.54826,1.00100
0.02069,0.01477,0.01699,0.28852
4.16555,3.83052,7.02166,10.37086
0.02357,0.02160,0.03190,0.05014
45.53795,46.20097,57.22557,69.89548
0.06981,0.03367,0.18844,0.42359
0.02856,0.02092,0.04591,0.11521
