Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.82031,427.94793,868.70340,1001.24730
2727.75781,2268.79033,6020.96245,7413.08878
0.01220,0.01207,0.01388,0.01531
0.12504,0.10016,0.24783,0.29317
0.01224,0.01101,0.01227,0.04376
5.65613,5.29626,10.70810,12.49090
0.01287,0.01254,0.01442,0.01870
79.14650,79.75831,88.85457,93.41024
0.00006,0.00000,0.00000,0.00198
0.01099,0.01128,0.01241,0.01411
