Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.76172,160.93510,308.89500,455.32049
6660.69922,8030.50342,8192.73040,8192.73040
0.01953,0.01769,0.02864,0.04146
0.36430,0.36240,0.55711,0.76109
0.01934,0.01334,0.01636,0.31380
3.91884,3.56441,6.81414,9.90461
0.02223,0.02014,0.03096,0.04546
49.05404,49.55092,64.90995,74.81369
0.07069,0.03334,0.15961,0.43042
0.02841,0.01978,0.04817,0.11498
