Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.04571,0.04376,0.06222,0.08366
0.54467,0.50712,0.87023,1.31917
0.04509,0.02785,0.03140,0.45978
8.83529,8.04459,14.98426,21.99908
0.04956,0.04693,0.06891,0.09190
21.54055,21.26368,28.02230,34.29504
0.39070,0.37120,0.69281,0.85641
0.06659,0.04798,0.10981,0.27009
