Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01648,0.01501,0.02331,0.03301
0.33362,0.34611,0.50510,0.69837
0.01635,0.01167,0.01422,0.24734
3.33981,2.92999,5.77189,8.89065
0.01896,0.01737,0.02566,0.04088
57.79074,57.34014,76.78436,92.66594
0.05415,0.01852,0.14471,0.41770
0.02304,0.01666,0.04171,0.10678
