,cdf,Number of Prompt Tokens
0,0.0,395.8365975574507
1,0.01,1340.773413013072
2,0.02,1770.472949532609
3,0.03,1806.2388876358893
4,0.04,2145.230011327347
5,0.05,2423.5825031183895
6,0.06,2502.391386713125
7,0.07,2641.235624783471
8,0.08,2821.438522796
9,0.09,2895.757914642538
10,0.1,3044.22664850295
11,0.11,3155.8153910838614
12,0.12,3411.823614588018
13,0.13,3593.932295636152
14,0.14,3673.874977963395
15,0.15,3718.2270728281387
16,0.16,3748.0922005963184
17,0.17,3831.463983779132
18,0.18,3948.1494732463293
19,0.19,4134.00634745748
20,0.2,4372.115619236352
21,0.21,4496.264876579329
22,0.22,4651.766481801328
23,0.23,4707.923969338881
24,0.24,4870.745723526165
25,0.25,5069.524694991232
26,0.26,5234.373046988384
27,0.27,5426.243486989982
28,0.28,5558.048710705299
29,0.29,5602.6914481271215
30,0.3,5761.783760175436
31,0.31,5937.25625870512
32,0.32,5996.926696116392
33,0.33,6057.19683159454
34,0.34,6118.072692207342
35,0.35000000000000003,6266.682672912486
36,0.36,6279.228584169569
37,0.37,6470.459628992682
38,0.38,6601.171628095202
39,0.39,6734.524185626179
40,0.4,6802.207301598134
41,0.41000000000000003,6953.51418573059
42,0.42,7037.459045764947
43,0.43,7079.810742190998
44,0.44,7208.40122079606
45,0.45,7280.84688174428
46,0.46,7442.8005251246295
47,0.47000000000000003,7502.5817553405805
48,0.48,7669.467623121013
49,0.49,7715.622771223695
50,0.5,7793.166095210145
51,0.51,7871.488742819985
52,0.52,7887.247479041847
53,0.53,7887.247479041847
54,0.54,7903.037764285175
55,0.55,7918.8596617111725
56,0.56,7934.713234607492
57,0.5700000000000001,7934.713234607492
58,0.58,7934.713234607492
59,0.59,7950.598546388488
60,0.6,7950.598546388488
61,0.61,7966.515660595473
62,0.62,7966.515660595473
63,0.63,7982.464640896967
64,0.64,7998.445551088953
65,0.65,7998.445551088953
66,0.66,7998.445551088953
67,0.67,8014.458455095138
68,0.68,8014.458455095138
69,0.6900000000000001,8014.458455095138
70,0.7000000000000001,8014.458455095138
71,0.71,8030.503416967201
72,0.72,8030.503416967201
73,0.73,8030.503416967201
74,0.74,8046.580500885054
75,0.75,8046.580500885054
76,0.76,8046.580500885054
77,0.77,8046.580500885054
78,0.78,8062.689771157097
79,0.79,8062.689771157097
80,0.8,8062.689771157097
81,0.81,8062.689771157097
82,0.8200000000000001,8062.689771157097
83,0.8300000000000001,8062.689771157097
84,0.84,8078.831292220465
85,0.85,8078.831292220465
86,0.86,8078.831292220465
87,0.87,8078.831292220465
88,0.88,8078.831292220465
89,0.89,8078.831292220465
90,0.9,8078.831292220465
91,0.91,8095.005128641327
92,0.92,8095.005128641327
93,0.93,8111.211345115085
94,0.9400000000000001,8111.211345115085
95,0.9500000000000001,8111.211345115085
96,0.96,8111.211345115085
97,0.97,8127.450006466667
98,0.98,8143.721177650786
99,0.99,8160.024923752189
100,1.0,8176.361309985928
