Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02097,0.01962,0.02893,0.04247
0.36328,0.36240,0.57064,1.04603
0.02074,0.01477,0.01706,0.29142
4.17773,3.83819,7.06392,10.30882
0.02363,0.02186,0.03223,0.05044
45.43640,45.64987,57.22557,69.75582
0.07110,0.03381,0.18844,0.43649
0.02884,0.02092,0.04564,0.12039
