Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.15625,427.94793,868.70340,1001.24730
2727.09375,2268.79033,6020.96245,7413.08878
0.01299,0.01289,0.01525,0.01656
0.12840,0.10218,0.25233,0.31632
0.01302,0.01144,0.01383,0.04647
6.00380,5.42490,11.37025,14.02723
0.01367,0.01339,0.01575,0.02217
74.97445,74.36616,88.14657,92.85146
0.00021,0.00000,0.00000,0.00603
0.01181,0.01212,0.01439,0.01525
