dataset,bar_key,llm42_config,total_throughput
ArXiv,non_det,ws_32_bs_16,15871.761910465624
ArXiv,global_det,ws_32_bs_16,13352.940446431889
ShareGPT,non_det,ws_32_bs_16,12904.092448114432
ShareGPT,global_det,ws_32_bs_16,10681.44411394619
ArXiv,non_det,ws_64_bs_8,15871.761910465624
ArXiv,global_det,ws_64_bs_8,13352.940446431889
ArXiv,llm42_0.02,ws_64_bs_8,15809.224612964505
ArXiv,llm42_0.05,ws_64_bs_8,15708.984188463299
ArXiv,llm42_0.1,ws_64_bs_8,15446.339242720718
ArXiv,llm42_0.2,ws_64_bs_8,15071.446979085633
ArXiv,llm42_0.5,ws_64_bs_8,14571.118521393368
ArXiv,llm42_1.0,ws_64_bs_8,14234.37035718294
ShareGPT,non_det,ws_64_bs_8,12904.092448114432
ShareGPT,global_det,ws_64_bs_8,10681.44411394619
ShareGPT,llm42_0.02,ws_64_bs_8,12336.368074749384
ShareGPT,llm42_0.05,ws_64_bs_8,11685.594445916235
ShareGPT,llm42_0.1,ws_64_bs_8,11047.57397881886
ShareGPT,llm42_0.2,ws_64_bs_8,9991.243449307955
ShareGPT,llm42_0.5,ws_64_bs_8,8014.339484255447
ShareGPT,llm42_1.0,ws_64_bs_8,6142.349673181572
