Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.32617,170.88678,308.27783,434.85017
6722.02734,8078.83129,8192.73040,8192.73040
0.00747,0.00669,0.01056,0.01765
0.19637,0.21632,0.24341,0.38328
0.00742,0.00576,0.00673,0.03334
1.55730,1.35121,2.64058,4.05115
0.00897,0.00795,0.01264,0.02289
121.78643,125.83872,157.11864,176.09106
0.00408,0.00000,0.00728,0.06298
0.00734,0.00615,0.01183,0.02378
