Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
443.57031,427.09289,823.03748,1001.24730
2718.50781,2268.79033,6020.96245,7413.08878
0.00445,0.00438,0.00502,0.00563
0.07582,0.06136,0.12784,0.16813
0.00445,0.00414,0.00459,0.00745
2.04687,1.95619,3.71731,4.62280
0.00490,0.00463,0.00559,0.00864
210.64567,215.94015,241.04926,255.44352
0.00000,0.00000,0.00000,0.00000
0.00351,0.00388,0.00445,0.00473
