Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.33008,170.88678,308.27783,434.85017
6722.03125,8078.83129,8192.73040,8192.73040
0.00897,0.00760,0.01397,0.01931
0.20303,0.21806,0.27390,0.39180
0.00886,0.00598,0.01171,0.03968
1.82808,1.59201,3.21234,5.01784
0.01050,0.00914,0.01613,0.02359
108.58257,109.39893,153.39268,175.73923
0.00545,0.00000,0.01183,0.10239
0.00912,0.00701,0.01411,0.03005
