,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.00023474674972266826
2,0.02,0.0013699203251361083
3,0.03,0.005138457935886235
4,0.04,0.00522133453525373
5,0.05,0.005252756725242738
6,0.06,0.0052843680151672245
7,0.07,0.005305547825669084
8,0.08,0.005326812525105936
9,0.09,0.0053374768144454875
10,0.1,0.005358869485653015
11,0.11,0.00536959795309176
12,0.12,0.005380347898943793
13,0.13,0.005391119366208946
14,0.14,0.0054019123979731284
15,0.15,0.00541272703740851
16,0.16,0.005423563327773694
17,0.17,0.005423563327773694
18,0.18,0.005434421312413881
19,0.19,0.0054453010347610565
20,0.2,0.005456202538334149
21,0.21,0.0054671258667392236
22,0.22,0.005478071063669632
23,0.23,0.005500027238317433
24,0.24,0.0055110383038596104
25,0.25,0.005533126611602224
26,0.26,0.005544203942155982
27,0.27,0.00556642517817541
28,0.28,0.005577569172526112
29,0.29,0.005599924136789781
30,0.3,0.00561113519612269
31,0.31,0.005622368700018833
32,0.32,0.005644903221327004
33,0.33,0.005656204328877208
34,0.34,0.005667528061267354
35,0.35000000000000003,0.005678874463792414
36,0.36,0.0056902435818380415
37,0.37,0.00570163546088076
38,0.38,0.00571305014648813
39,0.39,0.005724487684318937
40,0.4,0.0057474314997432475
41,0.41000000000000003,0.005758937869112104
42,0.42,0.005770467274255468
43,0.43,0.005793595376428735
44,0.44,0.00581681617631342
45,0.45,0.005840130045443066
46,0.46,0.005875276170367526
47,0.47000000000000003,0.005898824347855797
48,0.48,0.005934323697326441
49,0.49,0.005958108538012278
50,0.5,0.005981988708625385
51,0.51,0.006005964591249252
52,0.52,0.006017988544384883
53,0.53,0.00604210871478305
54,0.54,0.006054205028526359
55,0.55,0.006078470355028143
56,0.56,0.0060906394648480204
57,0.5700000000000001,0.0061150508210083745
58,0.58,0.006139560018177549
59,0.59,0.0061641674485034825
60,0.6,0.006188873505705842
61,0.61,0.00621367858508234
62,0.62,0.006238583083515037
63,0.63,0.006276127113990168
64,0.64,0.006301281906877111
65,0.65,0.0063392032612579405
66,0.66,0.006377352827792948
67,0.67,0.0064285762881395835
68,0.68,0.006467263704952446
69,0.6900000000000001,0.006532260807538813
70,0.7000000000000001,0.006611120173400476
71,0.71,0.0067446737049456
72,0.72,0.007005903321642825
73,0.73,0.009344175624264752
74,0.74,0.010943583184912693
75,0.75,0.011097870894875253
76,0.76,0.011164658304373295
77,0.77,0.011209406389011986
78,0.78,0.011254333824511598
79,0.79,0.011299441329712537
80,0.8,0.01134472962633634
81,0.81,0.011390199438997196
82,0.8200000000000001,0.011435851495213556
83,0.8300000000000001,0.011504672884830045
84,0.84,0.011527705262977854
85,0.85,0.01157390844418901
86,0.86,0.01162029680830563
87,0.87,0.011643560665779715
88,0.88,0.011666871097543038
89,0.89,0.01169022819683742
90,0.9,0.01171363205709135
91,0.91,0.011737082771920364
92,0.92,0.011760580435127404
93,0.93,0.011784125140703235
94,0.9400000000000001,0.011831356055865461
95,0.9500000000000001,0.011878776273103181
96,0.96,0.011974187651746066
97,0.97,0.012289599218201957
98,0.98,0.023028982284148392
99,0.99,0.039676286954963204
100,1.0,0.5660908565808992
