Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02346,0.02105,0.03597,0.05229
0.47589,0.46163,0.74453,1.14683
0.02307,0.01439,0.01696,0.39416
4.71653,4.24185,7.98049,11.50752
0.02697,0.02411,0.04056,0.06087
41.45079,41.47126,55.20209,69.47736
0.13063,0.08655,0.32336,0.53956
0.04311,0.02774,0.08200,0.23527
