Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6548.60870,7871.48874,8095.00513,8160.02492
184.39614,171.91518,313.87707,455.32049
6733.00483,8192.73040,8192.73040,8192.73040
0.02216,0.02034,0.03178,0.04924
0.42998,0.44264,0.67368,0.91302
0.02185,0.01439,0.01639,0.35029
4.43712,3.99483,7.53079,10.53813
0.02536,0.02340,0.03692,0.05410
43.36030,42.73425,58.26496,78.64948
0.10632,0.06425,0.27009,0.49411
0.03550,0.02576,0.06323,0.17153
