dataset,bar_key,detinfer_config,total_throughput
ArXiv,non_det,ws_32_bs_16,15916.673645837183
ArXiv,detinfer_0.02,ws_32_bs_16,15903.99161302195
ArXiv,global_det,ws_32_bs_16,11113.217728006452
ArXiv,detinfer_0.05,ws_32_bs_16,15782.602396309416
ArXiv,detinfer_0.1,ws_32_bs_16,15712.92449885659
ArXiv,detinfer_0.2,ws_32_bs_16,15579.987092067806
ArXiv,detinfer_0.5,ws_32_bs_16,14724.63169038305
ArXiv,detinfer_1.0,ws_32_bs_16,13140.414601452841
in=1024 out=256,non_det,ws_32_bs_16,19642.888374058224
in=1024 out=256,detinfer_0.02,ws_32_bs_16,19171.622232771773
in=1024 out=256,global_det,ws_32_bs_16,12766.874741084755
in=1024 out=256,detinfer_0.05,ws_32_bs_16,18215.610464469675
in=1024 out=256,detinfer_0.1,ws_32_bs_16,16932.200366551748
in=1024 out=256,detinfer_0.2,ws_32_bs_16,16077.936670056748
in=1024 out=256,detinfer_0.5,ws_32_bs_16,15109.630727002543
in=1024 out=256,detinfer_1.0,ws_32_bs_16,13431.06138987712
in=1024 out=512,non_det,ws_32_bs_16,16010.633142553952
in=1024 out=512,detinfer_0.02,ws_32_bs_16,15677.813734190973
in=1024 out=512,global_det,ws_32_bs_16,10489.768419581727
in=1024 out=512,detinfer_0.05,ws_32_bs_16,14854.133419303455
in=1024 out=512,detinfer_0.1,ws_32_bs_16,13507.915503295002
in=1024 out=512,detinfer_0.2,ws_32_bs_16,12481.291261053739
in=1024 out=512,detinfer_0.5,ws_32_bs_16,11658.866552237268
in=1024 out=512,detinfer_1.0,ws_32_bs_16,10488.394341525573
in=2048 out=256,non_det,ws_32_bs_16,19986.341763562086
in=2048 out=256,detinfer_0.02,ws_32_bs_16,19650.344039124753
in=2048 out=256,global_det,ws_32_bs_16,12846.446441957138
in=2048 out=256,detinfer_0.05,ws_32_bs_16,19325.420014947926
in=2048 out=256,detinfer_0.1,ws_32_bs_16,18277.80545560338
in=2048 out=256,detinfer_0.2,ws_32_bs_16,17070.887729434042
in=2048 out=256,detinfer_0.5,ws_32_bs_16,16064.124595086685
in=2048 out=256,detinfer_1.0,ws_32_bs_16,15460.801382063113
in=2048 out=512,non_det,ws_32_bs_16,16170.023475179773
in=2048 out=512,detinfer_0.02,ws_32_bs_16,15874.987339278634
in=2048 out=512,global_det,ws_32_bs_16,10650.32557282651
in=2048 out=512,detinfer_0.05,ws_32_bs_16,15664.305404924511
in=2048 out=512,detinfer_0.1,ws_32_bs_16,14679.432616702174
in=2048 out=512,detinfer_0.2,ws_32_bs_16,13230.497873572507
in=2048 out=512,detinfer_0.5,ws_32_bs_16,12070.619460316404
in=2048 out=512,detinfer_1.0,ws_32_bs_16,11580.583368295458
in=4096 out=512,non_det,ws_32_bs_16,15781.574983863487
in=4096 out=512,detinfer_0.02,ws_32_bs_16,15633.708029909267
in=4096 out=512,global_det,ws_32_bs_16,10488.883597448697
in=4096 out=512,detinfer_0.05,ws_32_bs_16,15546.699192450644
in=4096 out=512,detinfer_0.1,ws_32_bs_16,15382.63353242431
