dataset,bar_key,total_throughput,slowdown
in=1024 out=256,non_det,19642.888374058224,1.0000
in=1024 out=256,global_det,12766.874741084755,1.5386
in=1024 out=512,non_det,16010.633142553952,1.0000
in=1024 out=512,global_det,10489.768419581727,1.5263
in=2048 out=256,non_det,19986.341763562086,1.0000
in=2048 out=256,global_det,12846.446441957138,1.5558
in=2048 out=512,non_det,16170.023475179773,1.0000
in=2048 out=512,global_det,10650.32557282651,1.5183
