Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02342,0.02096,0.03612,0.05218
0.47413,0.46255,0.76109,1.11963
0.02304,0.01442,0.01692,0.39495
4.70927,4.23338,7.94863,11.50752
0.02691,0.02406,0.04016,0.06027
41.47222,41.47126,55.42334,69.75582
0.12967,0.08501,0.31695,0.52257
0.04236,0.02719,0.08151,0.22650
