Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.48828,160.93510,308.89500,455.32049
6660.42578,8030.50342,8192.73040,8192.73040
0.02406,0.02156,0.03648,0.05271
0.47484,0.45886,0.75352,1.12187
0.02370,0.01486,0.01772,0.39653
4.82395,4.32754,8.19071,11.71653
0.02756,0.02485,0.04088,0.06111
40.31450,40.00485,53.03759,67.42399
0.13170,0.09027,0.32595,0.53206
0.04298,0.02802,0.08054,0.22025
