Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.83008,159.97238,512.34672,722.70542
901.88672,650.01904,2016.26493,5255.35248
0.00546,0.00540,0.00616,0.00866
0.05917,0.04438,0.06374,0.27555
0.00567,0.00533,0.00571,0.00946
1.29439,0.96948,2.84340,4.25885
0.00689,0.00591,0.00837,0.01833
158.77541,169.18642,183.64439,189.23720
0.00177,0.00000,0.00000,0.00000
0.00522,0.00417,0.00529,0.00785
