config_name,batch_1,batch_2,batch_3,batch_4plus
sglang_non_deterministic,13681,1168,92,20
sglang_global_deterministic,11280,1960,274,82
detinfer_step_size_64,16384,0,0,0
detinfer_step_size_128,16384,0,0,0
