Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.28320,170.88678,308.27783,434.85017
6721.98438,8078.83129,8192.73040,8192.73040
0.01430,0.01369,0.01797,0.02490
0.25551,0.27887,0.34473,0.48821
0.01419,0.01132,0.01169,0.18214
2.85692,2.63004,4.71618,6.61275
0.01620,0.01519,0.02042,0.03029
64.91518,65.82508,79.91799,100.98793
0.01723,0.00000,0.05084,0.21719
0.01554,0.01269,0.02122,0.04456
