Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02177,0.01924,0.03449,0.05135
0.45534,0.44353,0.74156,1.03355
0.02136,0.01334,0.01656,0.40293
4.38335,3.90790,7.57611,10.81572
0.02514,0.02221,0.03744,0.05825
45.08098,44.92528,63.11768,75.41460
0.11661,0.07273,0.29850,0.50712
0.03944,0.02576,0.07317,0.20049
