Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.28906,170.88678,308.27783,434.85017
6721.99023,8078.83129,8192.73040,8192.73040
0.00811,0.00699,0.01246,0.01830
0.20186,0.21632,0.27009,0.42870
0.00801,0.00582,0.01146,0.03641
1.67053,1.45208,2.93586,4.36230
0.00964,0.00829,0.01454,0.02321
115.92651,120.42186,155.55528,176.09106
0.00558,0.00000,0.00967,0.09642
0.00826,0.00644,0.01269,0.03005
