Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
434.65820,407.89162,843.02933,991.28472
2669.53320,2111.17945,5937.25626,7746.54708
0.00601,0.00596,0.00668,0.00726
0.08053,0.05710,0.15898,0.19849
0.00605,0.00570,0.00610,0.01765
2.70538,2.57281,5.17066,6.32810
0.00647,0.00625,0.00720,0.01099
157.69977,159.97238,176.44359,184.38044
0.00002,0.00000,0.00000,0.00000
0.00500,0.00559,0.00615,0.00644
