Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02503,0.02213,0.04056,0.05664
0.49027,0.46070,0.79692,1.16300
0.02458,0.01489,0.01935,0.37795
5.00973,4.53126,8.71460,12.14601
0.02862,0.02540,0.04527,0.06451
39.70770,39.21270,55.20209,71.88021
0.14399,0.09376,0.37719,0.56270
0.04577,0.02916,0.08707,0.25950
