Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
183.85156,159.97238,308.27783,454.41076
6659.78906,8030.50342,8192.73040,8192.73040
0.00626,0.00506,0.01022,0.01313
0.15800,0.17222,0.21719,0.27500
0.00629,0.00442,0.00967,0.03952
1.30878,1.06290,2.27277,3.88452
0.00745,0.00631,0.01160,0.01483
151.86256,157.11864,209.97769,238.65078
0.00080,0.00000,0.00000,0.01703
0.00547,0.00445,0.01012,0.01241
