,cdf,Normalized End to End Latency
0,0.0,0.010326911497559349
1,0.01,0.010921717883843935
2,0.02,0.011413002641077271
3,0.03,0.01190255760698327
4,0.04,0.01246286368631037
5,0.05,0.012512814993719123
6,0.06,0.01274008503346046
7,0.07,0.012893887071738367
8,0.08,0.013260017943753182
9,0.09,0.013313164255004388
10,0.1,0.013446963825009393
11,0.11,0.013554971024371348
12,0.12,0.013663845747083996
13,0.13,0.013801169725858414
14,0.14,0.013884225690625371
15,0.15,0.01405184013005181
16,0.16,0.014079971942123988
17,0.17,0.014307063456409525
18,0.18,0.014307063456409525
19,0.19,0.01442197905186511
20,0.2,0.014566922399577159
21,0.21,0.014683925204981843
22,0.22,0.01480186778723828
23,0.23,0.014861193851189074
24,0.24,0.014980560270845588
25,0.25,0.015040602536417851
26,0.26,0.015161409982456598
27,0.27,0.01519176315559465
28,0.28,0.015375162570294712
29,0.29,0.015467690883915258
30,0.3,0.015591928741227034
31,0.31,0.0156544213789748
32,0.32,0.015685761561915694
33,0.33,0.01574863028273627
34,0.34,0.01584340613926675
35,0.35000000000000003,0.015938752360509578
36,0.36,0.016066773825145382
37,0.37,0.016131169647695245
38,0.38,0.016163464281624563
39,0.39,0.016325909852733606
40,0.4,0.01652300101856939
41,0.41000000000000003,0.01658922540519253
42,0.42,0.016722471526689982
43,0.43,0.016890535215895276
44,0.44,0.017060287973823713
45,0.45,0.017128665813019556
46,0.46,0.0174397734704088
47,0.47000000000000003,0.017579851268977924
48,0.48,0.017685647483111043
49,0.49,0.017934987941648994
50,0.5,0.018187843717583342
51,0.51,0.01833393008235185
52,0.52,0.01833393008235185
53,0.53,0.018481189825685865
54,0.54,0.018518189204716273
55,0.55,0.018555262656577566
56,0.56,0.018629632372265528
57,0.5700000000000001,0.018666928933571365
58,0.58,0.01870430016266761
59,0.59,0.01900597603709771
60,0.6,0.01923542174694104
61,0.61,0.01942874101419474
62,0.62,0.01966329046667553
63,0.63,0.019702656413555748
64,0.64,0.019781624897208798
65,0.65,0.01998043359922357
66,0.66,0.020181240362580743
67,0.67,0.02034333786500421
68,0.68,0.020506737348862922
69,0.6900000000000001,0.020547791878089864
70,0.7000000000000001,0.02071283355461296
71,0.71,0.02092100106236009
72,0.72,0.021215955035797776
73,0.73,0.02142917900018838
74,0.74,0.02160130005580778
75,0.75,0.02208179488046369
76,0.76,0.022126002678022175
77,0.77,0.022663450498027784
78,0.78,0.0229370503108903
79,0.79,0.023260427481417243
80,0.8,0.023920923462949096
81,0.81,0.023968813199611645
82,0.8200000000000001,0.024161332821097153
83,0.8300000000000001,0.024453015508115003
84,0.84,0.02460017468627383
85,0.85,0.024698772482012597
86,0.86,0.025046987228567425
87,0.87,0.025450962341686013
88,0.88,0.025758213814027427
89,0.89,0.026595806952064222
90,0.9,0.027903540655237234
91,0.91,0.028353588235400958
92,0.92,0.028695881057752136
93,0.93,0.02956980103744972
94,0.9400000000000001,0.03152414079143062
95,0.9500000000000001,0.03526015821238024
96,0.96,0.03590058784889573
97,0.97,0.036625828075364034
98,0.98,0.03721655473261771
99,0.99,0.04229858883613699
100,1.0,0.06876905671012956
