Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01716,0.01559,0.02470,0.03429
0.33664,0.34750,0.50712,0.72108
0.01705,0.01217,0.01489,0.25082
3.47214,3.06792,5.97151,9.16141
0.01966,0.01819,0.02790,0.04230
55.74985,54.98172,74.21757,89.56826
0.05722,0.02055,0.14853,0.41107
0.02427,0.01723,0.04394,0.11225
