Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.84375,160.93510,308.89500,455.32049
6660.78125,8030.50342,8192.73040,8192.73040
0.05447,0.05095,0.07585,0.11091
0.65305,0.57292,1.05232,1.82394
0.05349,0.03023,0.03677,0.51944
10.48762,9.66973,18.44882,25.71310
0.05904,0.05497,0.08266,0.11707
18.39011,18.08351,24.95316,30.29554
0.67404,0.74008,0.97336,0.99104
0.08525,0.05848,0.14705,0.36385
