,cdf,End to End Latency
0,0.0,1.3404422511267173
1,0.01,1.9798077175981164
2,0.02,2.8151057992825095
3,0.03,3.3501325191171283
4,0.04,3.550185736762067
5,0.05,3.724750755558294
6,0.06,3.9392878451080606
7,0.07,4.100053286500994
8,0.08,4.19964491779577
9,0.09,4.576799739249973
10,0.1,4.659928072814369
11,0.11,4.744566264846449
12,0.12,4.87929151675965
13,0.13,4.967914003184976
14,0.14,4.997811098765265
15,0.15,5.119209560065252
16,0.16,5.150017158066078
17,0.17,5.264573068356051
18,0.18,5.403246963112457
19,0.19,5.545573661018751
20,0.2,5.714461579514626
21,0.21,5.7259019430371785
22,0.22,5.783448233550435
23,0.23,5.983466584052867
24,0.24,6.079972066651474
25,0.25,6.153371270351273
26,0.26,6.29024558078405
27,0.27,6.366183267938592
28,0.28,6.5338746299988
29,0.29,6.639257473798307
30,0.3,6.84145303437481
31,0.31,7.0357208413896855
32,0.32,7.063920095063338
33,0.33,7.22104846412871
34,0.34,7.264505008663007
35,0.35000000000000003,7.545868339481602
36,0.36,7.576112270457551
37,0.37,7.775674320791902
38,0.38,7.901085767871355
39,0.39,7.996469989602652
40,0.4,8.044593050394523
41,0.41000000000000003,8.289587465485916
42,0.42,8.372899232482553
43,0.43,8.457048296938083
44,0.44,8.784600315263162
45,0.45,8.890650583404684
46,0.46,9.124838831399506
47,0.47000000000000003,9.290573119398362
48,0.48,9.478255209215169
49,0.49,9.535295709864458
50,0.5,9.669728730021793
51,0.51,9.865070273830627
52,0.52,9.884820164268726
53,0.53,9.944307388293872
54,0.54,10.004152608697645
55,0.55,10.064357979915881
56,0.56,10.145195790810053
57,0.5700000000000001,10.267671566070339
58,0.58,10.370863415444274
59,0.59,10.47509236049357
60,0.6,10.902589134830023
61,0.61,10.968201331262502
62,0.62,11.10061267047728
63,0.63,11.122836119267022
64,0.64,11.23462251816424
65,0.65,11.415822271300364
66,0.66,11.646437256330875
67,0.67,11.90549818381622
68,0.68,12.04922484518274
69,0.6900000000000001,12.170321608679302
70,0.7000000000000001,12.194686616904884
71,0.71,12.515906337201805
72,0.72,12.667002024593316
73,0.73,12.948764182472633
74,0.74,13.026690338231735
75,0.75,13.343112894355036
76,0.76,13.50419486160519
77,0.77,13.915458961687523
78,0.78,14.027229155304973
79,0.79,14.4255420623445
80,0.8,14.80552465082481
81,0.81,14.984261281160485
82,0.8200000000000001,15.10461618926814
83,0.8300000000000001,15.78405762664718
84,0.84,16.232256897404195
85,0.85,16.329943237311525
86,0.86,16.962422286585962
87,0.87,17.270510465714064
88,0.88,17.444082039670334
89,0.89,17.97533360818885
90,0.9,18.448821104444963
91,0.91,18.93478071465443
92,0.92,19.550492755533178
93,0.93,19.985369849237582
94,0.9400000000000001,20.429920258545526
95,0.9500000000000001,20.552868296348876
96,0.96,20.635244439444325
97,0.97,21.563466644293563
98,0.98,23.736182119396236
99,0.99,25.713099811602593
100,1.0,29.341433400192315
