Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02280,0.02014,0.03597,0.05250
0.45948,0.44441,0.73418,1.08654
0.02238,0.01386,0.01740,0.40616
4.57339,4.03497,8.02852,11.34753
0.02619,0.02321,0.04016,0.06014
43.23109,42.90553,59.56099,74.51504
0.12220,0.07143,0.30882,0.51427
0.04070,0.02607,0.07661,0.22113
