Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05339,0.04974,0.07509,0.10937
0.65294,0.57407,1.05022,1.82759
0.05237,0.02951,0.03540,0.51840
10.28193,9.44042,18.11971,25.15359
0.05796,0.05345,0.08151,0.11590
18.77731,18.67154,25.40639,30.84580
0.56097,0.53633,0.93519,0.98708
0.08377,0.05698,0.14675,0.36168
