Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,454.41076
6660.79297,8030.50342,8192.73040,8192.73040
0.01644,0.01501,0.02340,0.03288
0.33177,0.34404,0.50107,0.68318
0.01632,0.01164,0.01419,0.23716
3.33219,2.93586,5.77189,8.87289
0.01891,0.01727,0.02545,0.04080
57.92966,57.68521,77.09211,92.48080
0.05364,0.01943,0.14414,0.41107
0.02284,0.01639,0.03999,0.10137
