Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02341,0.02096,0.03612,0.05218
0.47469,0.46163,0.75352,1.12412
0.02303,0.01439,0.01692,0.39812
4.70832,4.22492,7.99647,11.50752
0.02690,0.02402,0.04016,0.06075
41.52726,41.55429,55.42334,69.47736
0.13000,0.08535,0.31695,0.52677
0.04257,0.02746,0.08006,0.23764
