Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.37109,159.01542,308.89500,455.32049
6660.30859,8030.50342,8192.73040,8192.73040
0.01723,0.01559,0.02470,0.03436
0.34166,0.34889,0.51530,0.68729
0.01713,0.01219,0.01495,0.25032
3.48238,3.04957,5.97151,9.16141
0.01976,0.01804,0.02807,0.04163
55.46534,54.98172,73.77360,89.92725
0.05862,0.02440,0.15305,0.41770
0.02438,0.01723,0.04221,0.11225
