Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
433.84961,407.89162,826.33622,973.60122
2668.72461,2111.17945,5984.94482,7746.54708
0.00603,0.00596,0.00669,0.00726
0.08064,0.05687,0.15677,0.19969
0.00606,0.00571,0.00613,0.01737
2.70579,2.57281,5.10898,6.35346
0.00649,0.00626,0.00722,0.01043
157.28243,159.65276,175.73923,183.64439
0.00000,0.00000,0.00000,0.00000
0.00501,0.00559,0.00615,0.00644
