Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,28.82,39.02,60.53,158.83,2595.22,6044.85,9673.42,15768.59
SGLang deterministic,62.47,85.96,138.65,308.57,7603.43,18636.53,29360.36,48609.10
LLM-42 @2%,28.75,39.66,61.65,151.72,2668.57,6261.03,10023.96,16349.49
LLM-42 @5%,29.24,40.47,60.91,156.15,2744.60,6464.31,10285.31,16800.65
LLM-42 @10%,29.75,41.65,63.26,157.37,2922.76,6856.49,11028.20,17710.69
LLM-42 @20%,35.22,51.23,73.96,167.15,3991.64,9644.53,15467.49,25751.44
LLM-42 @50%,46.10,60.95,83.63,190.95,6981.85,17742.88,27765.63,45000.20
LLM-42 @100%,51.22,65.94,87.84,241.36,9079.91,21606.66,34131.26,54910.41
