Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.89,37.01,55.82,142.49,2381.09,5499.16,8896.35,14504.84
SGLang deterministic,60.15,79.88,127.00,269.87,7000.35,17251.25,27590.31,46120.99
LLM-42 @2%,27.86,37.52,56.97,139.97,2437.44,5658.37,9171.75,14911.49
LLM-42 @5%,28.23,37.76,56.45,141.58,2502.08,5844.03,9431.46,15279.97
LLM-42 @10%,28.90,39.53,58.61,135.67,2590.93,6058.09,9791.18,15924.39
LLM-42 @20%,31.07,45.07,63.84,158.96,3248.75,7651.32,12526.13,20750.91
LLM-42 @50%,42.46,56.98,75.76,172.14,6009.74,14908.11,23694.80,37956.82
LLM-42 @100%,48.18,61.65,82.02,194.14,8612.23,20349.16,31547.58,50939.29
