Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.05,35.42,50.29,131.97,2152.30,5027.63,8109.14,13181.47
SGLang deterministic,53.44,69.78,107.75,241.78,4641.82,11040.26,17623.13,28038.60
LLM-42 @2%,27.44,35.84,52.49,136.97,2208.70,5200.28,8396.72,13677.34
LLM-42 @5%,27.64,36.14,54.13,135.67,2253.55,5327.24,8636.33,13898.74
LLM-42 @10%,27.93,37.09,54.04,136.09,2352.44,5495.55,8891.26,14239.57
LLM-42 @20%,29.35,41.09,57.80,140.13,2624.47,6240.70,10117.44,17029.23
LLM-42 @50%,38.48,52.03,68.08,165.34,4750.20,11588.10,18372.24,30075.61
LLM-42 @100%,45.42,58.03,73.88,183.23,7732.61,18470.78,29254.62,45823.89
