Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,29.76,41.45,65.18,163.29,2842.03,6652.01,10627.37,17400.28
SGLang deterministic,76.20,105.60,171.56,360.16,10602.41,26676.86,42190.61,71143.14
LLM-42 @2%,30.23,42.65,65.88,158.28,2937.17,6902.81,10970.31,18129.14
LLM-42 @5%,30.63,43.35,67.58,174.18,3015.06,7156.47,11359.74,18485.71
LLM-42 @10%,32.18,46.34,70.17,164.84,3405.50,8150.72,12905.50,20850.80
LLM-42 @20%,40.73,57.50,79.32,179.97,5075.36,12280.70,19548.58,32690.17
LLM-42 @50%,50.71,67.33,90.48,237.45,7958.98,19851.49,31355.37,52144.29
LLM-42 @100%,57.10,75.37,101.23,285.83,10780.84,26310.73,41785.96,69862.84
