Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6499.54000,7887.24748,8078.83129,8143.72118
185.33333,159.01542,310.13305,455.32049
6684.87333,8192.73040,8192.73040,8192.73040
0.05731,0.05313,0.08135,0.10959
0.71189,0.57637,1.22262,1.82394
0.05556,0.03041,0.03692,0.52152
10.95298,9.86507,18.70892,25.55928
0.06184,0.05687,0.08795,0.11406
17.77517,17.51400,25.20395,29.04948
0.70494,0.72979,0.98118,0.99302
0.09491,0.06808,0.20784,0.30331
