,cdf,Number of Prompt Tokens
0,0.0,1186.7833507976663
1,0.01,1340.773413013072
2,0.02,1420.8377190891608
3,0.03,2081.828862108538
4,0.04,2423.5825031183895
5,0.05,2462.6717160011576
6,0.06,2502.391386713125
7,0.07,2821.438522796
8,0.08,2895.757914642538
9,0.09,3044.22664850295
10,0.1,3080.9774443014076
11,0.11,3181.163178623857
12,0.12,3543.967794435271
13,0.13,3651.8977184800697
14,0.14,3673.874977963395
15,0.15,3718.2270728281387
16,0.16,3718.2270728281387
17,0.17,3785.761166078392
18,0.18,3831.463983779132
19,0.19,3948.1494732463293
20,0.2,4011.8279554329893
21,0.21,4372.115619236352
22,0.22,4478.315733308702
23,0.23,4651.766481801328
24,0.24,4670.4108177561075
25,0.25,4812.646050708823
26,0.26,4870.745723526165
27,0.27,5161.602383303471
28,0.28,5265.873703237341
29,0.29,5602.6914481271215
30,0.3,5625.147102773261
31,0.31,5937.25625870512
32,0.32,5996.926696116392
33,0.33,6105.8487707443965
34,0.34,6118.072692207342
35,0.35000000000000003,6279.228584169569
36,0.36,6470.459628992682
37,0.37,6734.524185626179
38,0.38,6748.006716528334
39,0.39,6953.51418573059
40,0.4,7037.459045764947
41,0.41000000000000003,7208.40122079606
42,0.42,7222.832454471328
43,0.43,7354.020633933474
44,0.44,7442.8005251246295
45,0.45,7532.6521931671605
46,0.46,7669.467623121013
47,0.47000000000000003,7777.5953337811525
48,0.48,7793.166095210145
49,0.49,7871.488742819985
50,0.5,7887.247479041847
51,0.51,7887.247479041847
52,0.52,7903.037764285175
53,0.53,7918.8596617111725
54,0.54,7918.8596617111725
55,0.55,7934.713234607492
56,0.56,7950.598546388488
57,0.5700000000000001,7950.598546388488
58,0.58,7966.515660595473
59,0.59,7966.515660595473
60,0.6,7966.515660595473
61,0.61,7982.464640896967
62,0.62,7998.445551088953
63,0.63,7998.445551088953
64,0.64,7998.445551088953
65,0.65,7998.445551088953
66,0.66,8014.458455095138
67,0.67,8014.458455095138
68,0.68,8014.458455095138
69,0.6900000000000001,8014.458455095138
70,0.7000000000000001,8030.503416967201
71,0.71,8030.503416967201
72,0.72,8030.503416967201
73,0.73,8030.503416967201
74,0.74,8046.580500885054
75,0.75,8046.580500885054
76,0.76,8046.580500885054
77,0.77,8046.580500885054
78,0.78,8062.689771157097
79,0.79,8062.689771157097
80,0.8,8062.689771157097
81,0.81,8062.689771157097
82,0.8200000000000001,8062.689771157097
83,0.8300000000000001,8062.689771157097
84,0.84,8078.831292220465
85,0.85,8078.831292220465
86,0.86,8078.831292220465
87,0.87,8078.831292220465
88,0.88,8078.831292220465
89,0.89,8078.831292220465
90,0.9,8078.831292220465
91,0.91,8078.831292220465
92,0.92,8095.005128641327
93,0.93,8095.005128641327
94,0.9400000000000001,8095.005128641327
95,0.9500000000000001,8111.211345115085
96,0.96,8111.211345115085
97,0.97,8127.450006466667
98,0.98,8127.450006466667
99,0.99,8143.721177650786
100,1.0,8160.024923752189
