Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
444.34766,422.84324,836.31199,1001.24730
2719.28516,2268.79033,6020.96245,7413.08878
0.00852,0.00864,0.00965,0.01045
0.08715,0.06849,0.16415,0.20454
0.00858,0.00824,0.00918,0.03526
3.89042,3.65100,7.45586,8.81981
0.00900,0.00891,0.01020,0.01261
114.01640,112.28060,135.23326,159.01542
0.00006,0.00000,0.00000,0.00000
0.00733,0.00785,0.00900,0.00957
