,cdf,Number of Output Tokens
0,0.0,7.996469989602652
1,0.01,13.000662984908592
2,0.02,21.99907771279114
3,0.03,28.022299698332315
4,0.04,29.99409814075676
5,0.05,37.003063394656856
6,0.06,45.0152251403878
7,0.07,56.99712612291374
8,0.08,61.99172297111608
9,0.09,69.0617416948185
10,0.1,74.96347080859108
11,0.11,85.02973178204074
12,0.12,97.02813859078891
13,0.13,102.00287933571242
14,0.14,108.09398292749972
15,0.15,129.93068582944278
16,0.16,147.96875929938696
17,0.17,154.00748097611634
18,0.18,158.06418546692328
19,0.19,167.8383321854717
20,0.2,185.86140130386502
21,0.21,191.90515245376974
22,0.22,198.1454313803173
23,0.23,204.17986018982324
24,0.24,219.86226842094075
25,0.25,230.21215872843447
26,0.26,232.0612430902949
27,0.27,248.88758757374526
28,0.28,255.95492335581315
29,0.29,258.010775873476
30,0.3,276.1657899684225
31,0.31,281.18178437837963
32,0.32,295.00768170169414
33,0.33,300.96723419670434
34,0.34,307.0471776786069
35,0.35000000000000003,315.7659953856089
36,0.36,317.031589289365
37,0.37,322.14489377491435
38,0.38,331.9556696998933
39,0.39,337.9849747190215
40,0.4,348.27815309016415
41,0.41000000000000003,351.7784078930813
42,0.42,361.0445879385174
43,0.43,363.94452991021416
44,0.44,383.3703460729392
45,0.45,384.9068990265854
46,0.46,398.2187572695074
47,0.47000000000000003,402.22092365685313
48,0.48,407.07665246352707
49,0.49,418.635876529482
50,0.5,422.8432384455084
51,0.51,428.8046784812415
52,0.52,433.9813341629187
53,0.53,438.34292054381035
54,0.54,449.8892927265958
55,0.55,456.23204057605346
56,0.56,469.1870660022758
57,0.5700000000000001,480.5837728303115
58,0.58,494.23028259447756
59,0.59,501.19817027872114
60,0.6,512.3467181125903
61,0.61,517.4958899596346
62,0.62,522.6968118614232
63,0.63,525.8424211722349
64,0.64,535.3932878651003
65,0.65,535.3932878651003
66,0.66,545.1176267825557
67,0.67,559.4765469503996
68,0.68,566.2307117039051
69,0.6900000000000001,569.6383096811354
70,0.7000000000000001,576.515150210852
71,0.71,596.4537067135088
72,0.72,613.3904236663155
73,0.73,623.2836081649217
74,0.74,624.531423196283
75,0.75,637.1477990813199
76,0.76,647.4241589428187
77,0.77,676.5468321464293
78,0.78,683.346243127588
79,0.79,692.9803753110061
80,0.8,702.7503339570125
81,0.81,708.3948866165663
82,0.8200000000000001,731.4301289021654
83,0.8300000000000001,735.8319032605918
84,0.84,755.2144200546894
85,0.85,770.4707684837989
86,0.86,784.4648155675877
87,0.87,792.3488206768578
88,0.88,816.4794429039895
89,0.89,823.0374777966431
90,0.9,836.3119948137848
91,0.91,853.2066234775198
92,0.92,866.9677293178154
93,0.93,880.9507837796264
94,0.9400000000000001,886.2523791307749
95,0.9500000000000001,900.5464697470951
96,0.96,911.4181305128837
97,0.97,954.3226167752057
98,0.98,963.9137217390451
99,0.99,1001.2473012529721
100,1.0,1015.3633499553291
