Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02398,0.02147,0.03648,0.05281
0.47359,0.46163,0.74752,1.11739
0.02361,0.01480,0.01762,0.39180
4.81434,4.31890,8.24000,11.66975
0.02747,0.02470,0.04121,0.06124
40.55889,40.24560,54.43465,67.82975
0.13186,0.08919,0.32989,0.53312
0.04291,0.02774,0.07926,0.22380
