Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
433.52734,407.89162,836.31199,991.28472
2668.40234,2111.17945,5984.94482,7746.54708
0.00701,0.00619,0.01022,0.01236
0.08197,0.06002,0.15898,0.19613
0.00703,0.00578,0.01047,0.02928
3.12417,2.79827,5.93579,9.36520
0.00747,0.00648,0.01090,0.01329
142.74394,154.31580,175.38810,182.54582
0.00002,0.00000,0.00000,0.00000
0.00604,0.00586,0.01041,0.01128
