Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.01891,0.01744,0.02686,0.03737
0.34647,0.35169,0.52361,0.75201
0.01875,0.01326,0.01588,0.29850
3.79473,3.45907,6.58636,9.59268
0.02148,0.01947,0.02951,0.04298
50.25975,51.26462,64.52165,74.36616
0.06156,0.02520,0.15397,0.42359
0.02622,0.01867,0.04537,0.11069
