Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01644,0.01504,0.02321,0.03281
0.33571,0.34473,0.51120,0.70117
0.01631,0.01167,0.01419,0.23812
3.33504,2.92414,5.76036,8.87289
0.01892,0.01730,0.02545,0.04072
57.88421,57.56996,77.09211,92.48080
0.05401,0.01943,0.14471,0.41107
0.02330,0.01639,0.04196,0.10959
