Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
430.83398,406.26331,826.33622,977.50342
2665.70898,2111.17945,5984.94482,7746.54708
0.00793,0.00698,0.01121,0.01239
0.08400,0.06173,0.16513,0.20659
0.00798,0.00593,0.01083,0.03102
3.51496,3.02527,6.61275,10.72954
0.00840,0.00762,0.01164,0.01350
128.74504,130.97430,172.60422,181.81710
0.00002,0.00000,0.00000,0.00000
0.00694,0.00615,0.01071,0.01128
