Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02153,0.02006,0.02987,0.04527
0.38484,0.37269,0.59037,1.04603
0.02128,0.01480,0.01713,0.30636
4.29830,3.91572,7.29362,10.49606
0.02436,0.02248,0.03367,0.05250
44.42444,44.38940,56.31725,69.47736
0.08196,0.04411,0.21849,0.43736
0.03135,0.02208,0.05074,0.12431
