Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
429.16406,402.22092,824.68520,977.50342
2664.03906,2111.17945,5984.94482,7700.20694
0.01076,0.01088,0.01195,0.01323
0.16969,0.07692,0.20951,2.27732
0.01086,0.01027,0.01108,0.03415
4.81926,4.45043,9.17975,11.41582
0.01281,0.01123,0.01269,0.01870
89.03165,89.03246,102.00288,111.83237
0.00626,0.00000,0.00000,0.10342
0.02771,0.01012,0.01128,0.03115
