Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.22070,170.88678,308.27783,434.85017
6721.92188,8078.83129,8192.73040,8192.73040
0.01708,0.01636,0.02217,0.02957
0.29758,0.31695,0.42443,0.58802
0.01693,0.01297,0.01331,0.22605
3.39993,3.10496,5.65760,7.99647
0.01929,0.01812,0.02475,0.03619
54.67148,55.20209,67.82975,82.68192
0.03614,0.00827,0.09837,0.34062
0.02025,0.01581,0.02945,0.06528
