Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02418,0.02160,0.03648,0.05302
0.47910,0.46255,0.77337,1.11963
0.02380,0.01486,0.01776,0.39812
4.85529,4.36230,8.27302,11.73998
0.02770,0.02490,0.04154,0.06148
40.19834,40.00485,53.35677,67.42399
0.13381,0.09099,0.32857,0.52677
0.04344,0.02830,0.08054,0.22970
