Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05468,0.05095,0.07785,0.11248
0.65777,0.57868,1.04812,1.82030
0.05364,0.03023,0.03670,0.51944
10.51951,9.66973,18.55985,25.71310
0.05928,0.05508,0.08283,0.11730
18.34309,18.04738,24.95316,30.17460
0.67709,0.74453,0.97142,0.99501
0.08550,0.05848,0.14764,0.36678
