,cdf,Number of Total Tokens
0,0.0,78.02278912874269
1,0.01,87.97045261291906
2,0.02,139.91025019505676
3,0.03,216.8056419541916
4,0.04,235.80408713266817
5,0.05,292.0723052499147
6,0.06,361.76739992638227
7,0.07,392.6825367903506
8,0.08,446.3045353381095
9,0.09,548.3981654110365
10,0.1,566.2307117039051
11,0.11,585.8135848247916
12,0.12,595.2619910157795
13,0.13,622.0382862704862
14,0.14,643.5512430645687
15,0.15,676.5468321464293
16,0.16,701.3462373856697
17,0.17,718.3821661902196
18,0.18,727.0546861249275
19,0.19,779.772117282894
20,0.2,837.9862931017004
21,0.21,854.9147448458432
22,0.22,880.9507837796264
23,0.23,904.1558708188261
24,0.24,956.2331725645455
25,0.25,985.3548180394457
26,0.26,991.2847208430245
27,0.27,1027.6211137305045
28,0.28,1052.582365674798
29,0.29,1078.1499345683058
30,0.3,1170.284142332301
31,0.31,1252.6315754083294
32,0.32,1311.5984890779264
33,0.33,1389.920614098649
34,0.34,1461.183392212194
35,0.35000000000000003,1551.5379580868073
36,0.36,1576.5622341167405
37,0.37,1598.7893394994353
38,0.38,1605.1973063832322
39,0.39,1701.0516895350909
40,0.4,1774.0174399220637
41,0.41000000000000003,1802.630018729524
42,0.42,1921.7702017446443
43,0.43,1925.6175895359252
44,0.44,1944.9703745342133
45,0.45,1956.6752802855995
46,0.46,1996.2027562526248
47,0.47000000000000003,2048.784647953762
48,0.48,2106.9613099295016
49,0.49,2246.2154849197154
50,0.5,2268.790333412844
51,0.51,2356.6634100198303
52,0.52,2389.8887434906615
53,0.53,2447.939920376798
54,0.54,2482.452112412912
55,0.55,2507.4011792791143
56,0.56,2537.6712607692084
57,0.5700000000000001,2588.9356380437134
58,0.58,2635.9584307279592
59,0.59,2721.6732520144233
60,0.6,2872.684261306917
61,0.61,2995.906597253914
62,0.62,3087.1455673130226
63,0.63,3143.2173382232995
64,0.64,3155.8153910838614
65,0.65,3200.3075397272987
66,0.66,3245.426959312025
67,0.67,3291.182493394624
68,0.68,3371.1263893642545
69,0.6900000000000001,3432.3560989754355
70,0.7000000000000001,3466.851862818683
71,0.71,3579.5852748422153
72,0.72,3630.051927796661
73,0.73,3666.5345684170143
74,0.74,3785.761166078392
75,0.75,3869.9708498929963
76,0.76,3885.4817395610157
77,0.77,3956.0536763959713
78,0.78,4109.2765646671705
79,0.79,4285.541900948916
80,0.8,4389.639111173677
81,0.81,4487.281330372382
82,0.8200000000000001,4614.700798010356
83,0.8300000000000001,4861.0139638388
84,0.84,4999.045828981896
85,0.85,5120.47428228147
86,0.86,5404.581857961706
87,0.87,5513.761690535258
88,0.88,5602.6914481271215
89,0.89,5625.147102773261
90,0.9,6020.962450373618
91,0.91,6329.663901937605
92,0.92,6574.819671847273
93,0.93,6654.192820784966
94,0.9400000000000001,6654.192820784966
95,0.9500000000000001,7023.39818853066
96,0.96,7023.39818853066
97,0.97,7108.1867087168475
98,0.98,7150.96404691087
99,0.99,7413.08877623367
100,1.0,8062.689771157097
