Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.85156,427.94793,868.70340,1001.24730
2727.78906,2268.79033,6020.96245,7413.08878
0.01253,0.01222,0.01454,0.01607
0.12677,0.09976,0.24833,0.31068
0.01252,0.01105,0.01337,0.04582
5.78560,5.38168,10.83737,12.79431
0.01320,0.01274,0.01534,0.01867
77.44723,78.33551,88.85457,92.85146
0.00020,0.00000,0.00000,0.00313
0.01136,0.01155,0.01355,0.01525
