Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
445.23438,427.09289,824.68520,1001.24730
2720.17188,2268.79033,6020.96245,7413.08878
0.02192,0.02186,0.02331,0.02480
0.16695,0.13439,0.25950,0.34130
0.02201,0.01974,0.02042,0.10425
9.94691,9.49723,18.78391,22.30923
0.02279,0.02248,0.02416,0.02922
44.21035,44.47827,47.32321,49.15609
0.00101,0.00000,0.00000,0.02042
0.01991,0.02034,0.02122,0.02235
