Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02117,0.01958,0.02981,0.04798
0.40467,0.37046,0.65246,0.95218
0.02094,0.01428,0.01652,0.30636
4.25460,3.86901,7.22105,10.60155
0.02414,0.02221,0.03415,0.05302
45.55070,44.92528,60.76420,88.14657
0.09233,0.05004,0.24147,0.47189
0.03404,0.02262,0.06272,0.15993
