Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02398,0.02147,0.03633,0.05271
0.46875,0.45795,0.75051,1.08872
0.02362,0.01486,0.01769,0.39495
4.81218,4.33621,8.09301,11.69312
0.02744,0.02475,0.04072,0.06124
40.48869,40.32617,53.78533,67.15483
0.13060,0.08552,0.31950,0.52677
0.04262,0.02802,0.07942,0.21893
