Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
443.35547,427.09289,824.68520,975.55037
2718.29297,2268.79033,6020.96245,7413.08878
0.00557,0.00475,0.00844,0.00963
0.08017,0.06568,0.13252,0.16813
0.00548,0.00427,0.00847,0.01471
2.50507,2.34668,4.44153,6.54696
0.00604,0.00512,0.00896,0.01081
180.58067,195.00033,235.33295,251.38895
0.00010,0.00000,0.00000,0.00000
0.00471,0.00417,0.00814,0.00871
