,cdf,Number of Output Tokens
0,0.0,1.9997051226201907
1,0.01,3.001162958349363
2,0.02,3.001162958349363
3,0.03,4.002823400834266
4,0.04,4.997811098765265
5,0.05,7.996469989602652
6,0.06,10.990159692286051
7,0.07,12.001124195202623
8,0.08,12.001124195202623
9,0.09,15.014259802243886
10,0.1,18.0113202620591
11,0.11,19.985369849237582
12,0.12,21.010042023055906
13,0.13,21.99907771279114
14,0.14,24.022732262610404
15,0.15,25.003118897839112
16,0.16,26.023515884264672
17,0.17,28.991440241586453
18,0.18,31.976480717732706
19,0.19,34.98784393437458
20,0.2,37.003063394656856
21,0.21,37.9777595100358
22,0.22,40.004851316295785
23,0.23,41.97191674322714
24,0.24,46.01653444375361
25,0.25,47.04011666295805
26,0.26,47.990390374500834
27,0.27,50.95795140178327
28,0.28,54.98172381112103
29,0.29,58.03236392716473
30,0.3,62.99156830465424
31,0.31,67.96554640998895
32,0.32,73.03953941466173
33,0.33,74.96347080859108
34,0.34,78.02278912874269
35,0.35000000000000003,82.02310443674119
36,0.36,85.02973178204074
37,0.37,86.92111544680155
38,0.38,91.0128771517113
39,0.39,93.97238986969887
40,0.4,99.9830863317801
41,0.41000000000000003,104.06347487863825
42,0.42,108.96220333143697
43,0.43,114.09153661923892
44,0.44,118.03734888197941
45,0.45,125.08595108245035
46,0.46,129.93068582944278
47,0.47000000000000003,137.9651534907103
48,0.48,143.0223846944321
49,0.49,150.95792752571776
50,0.5,159.97238261315115
51,0.51,170.88677687557998
52,0.52,181.09128352475034
53,0.53,191.90515245376974
54,0.54,200.13682673977718
55,0.55,207.0584825310501
56,0.56,215.07811556175292
57,0.5700000000000001,223.8556229544114
58,0.58,233.92517946082506
59,0.59,243.9592815159079
60,0.6,247.89402534147717
61,0.61,255.95492335581315
62,0.62,263.22294104228376
63,0.63,266.93398011393043
64,0.64,272.8716040364805
65,0.65,275.06333282529255
66,0.66,277.8277662050077
67,0.67,292.0723052499147
68,0.68,293.83000750096295
69,0.6900000000000001,300.96723419670434
70,0.7000000000000001,308.2778264562278
71,0.71,313.2499442074822
72,0.72,320.858887498374
73,0.73,331.9556696998933
74,0.74,340.01898116265124
75,0.75,344.1237898996924
76,0.76,349.67405611266685
77,0.77,366.1347619451631
78,0.78,375.7791021006508
79,0.79,381.077010119921
80,0.8,392.6825367903506
81,0.81,400.6152529093913
82,0.8200000000000001,411.99100105066736
83,0.8300000000000001,417.7994412117407
84,0.84,429.6631463060288
85,0.85,435.7207365649722
86,0.86,447.19803791135894
87,0.87,468.24962930696654
88,0.88,480.5837728303115
89,0.89,508.264294474345
90,0.9,512.3467181125903
91,0.91,514.4002099151542
92,0.92,514.4002099151542
93,0.93,514.4002099151542
94,0.9400000000000001,514.4002099151542
95,0.9500000000000001,514.4002099151542
96,0.96,519.5700197048338
97,0.97,533.2559914437788
98,0.98,625.7817363558352
99,0.99,722.7054174123614
100,1.0,2578.600575950786
