Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.89648,159.97238,512.34672,722.70542
901.95312,650.01904,2016.26493,5255.35248
0.00542,0.00540,0.00601,0.00705
0.05269,0.04591,0.06438,0.17119
0.00559,0.00533,0.00568,0.00776
1.27040,0.96175,2.83205,4.27592
0.00669,0.00586,0.00791,0.01616
160.71163,170.20459,183.64439,188.85910
0.00110,0.00000,0.00000,0.00000
0.00334,0.00417,0.00529,0.00559
