Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.89648,159.97238,512.34672,722.70542
901.95312,650.01904,2016.26493,5255.35248
0.00531,0.00538,0.00593,0.00643
0.05075,0.04385,0.06222,0.18582
0.00552,0.00532,0.00568,0.00753
1.25444,0.92589,2.79267,4.25885
0.00653,0.00583,0.00753,0.01652
162.87984,171.57169,184.74957,189.61605
0.00021,0.00000,0.00000,0.00000
0.00314,0.00388,0.00529,0.00559
